stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1504,1504,NORTH AVE @ CALTON LA,,40.935679,-73.792181,,,,,,0
1505,1505,NORTH AVE @ TRENOR DR,,40.939442,-73.79359,,,,,,0
1506,1506,NORTH AV @ WYKAGYL COUNTRY CLUB,NORTH AVE & DISBROW LA,40.942681,-73.794601,,,,,,0
1507,1507,NORTH AVE @ COUNTRY CLUB APARTMENTS,NORTH AVE & DISBROW LA,40.945117,-73.795285,,,,,,0
1508,1508,NORTH AVE @ QUAKER RIDGE RD,,40.946988,-73.795677,,,,,,0
1509,1509,NORTH AVE @ LOVELL RD,,40.949167,-73.796313,,,,,,0
1510,1510,NORTH AVE @ HUTCHINSON RIVER PKWY,,40.951487,-73.795902,,,,,,0
1511,1511,NORTH AVE @ WILMOT RD,,40.953944,-73.796583,,,,,,0
1512,1512,MILL RD @ CALIFORNIA RD,,40.95534,-73.802947,,,,,,0
1513,1513,MILL RD @ LONGVIEW DR,,40.955679,-73.805206,,,,,,0
1514,1514,MILL RD @ LINCOLN PL,,40.956165,-73.807199,,,,,,0
1516,1516,MILL RD @ OAKRIDGE PL,,40.956378,-73.811191,,,,,,0
1517,1517,MILL RD @ WHITE PLAINS RD,,40.956278,-73.813071,,,,,,0
1518,1518,MILL RD @ MICHAEL FREY DR,,40.95619,-73.812292,,,,,,0
1519,1519,MILL RD @ OAKRIDGE PL,,40.956231,-73.811032,,,,,,0
1520,1520,MILL RD @ LINCOLN PL,,40.956085,-73.80752,,,,,,0
1521,1521,MILL RD @ LONGVIEW DR,,40.955525,-73.805123,,,,,,0
1523,1523,MILL RD @ FORBES BLVD,,40.95514,-73.803678,,,,,,0
1524,1524,MILL RD @ CALIFORNIA RD,,40.955258,-73.802573,,,,,,0
1525,1525,NORTH AVE @ MILL RD,,40.95375,-73.796752,,,,,,0
1526,1526,NORTH AVE @ HUTCHINSON RIVER PKWY,NORTH AVE & HUTCHINSON RIVER  PKWY,40.951266,-73.796082,,,,,,0
1527,1527,NORTH AVE @ LOVELL RD,,40.948991,-73.796616,,,,,,0
1528,1528,NORTH AVE @ NORTHFIELD RD,,40.946604,-73.795729,,,,,,0
1529,1529,QUAKER RIDGE RD @ VAN METER FENWAY,,40.949716,-73.79104,,,,,,0
